 year   CV   CS   DPM   RPM   BIO   HUM
  1851.0   588.3760774763169   1739.021528833824   4.996216662079609   405.0237735105826   33.52754133500987   1295.4739976905523 
  1852.0   588.7288485358267   1738.8449363848201   4.899035415080462   404.9170929632742   33.533832281956386   1295.4949742162962 
  1853.0   589.5461513612923   1739.3881408983236   5.039704356910266   405.31026389716095   33.53374123755583   1295.5044320800027 
  1854.0   590.5322061822637   1740.085234518529   5.031477814446091   405.9398163760894   33.561515773465274   1295.5524239727563 
  1855.0   591.6942558805841   1740.573588921209   4.971699250620519   406.3891866357448   33.59478141535369   1295.6179217853423 
  1856.0   592.9204262128858   1740.7870414328877   4.969914413390821   406.5531295918712   33.603743702831984   1295.6602531785181 
  1857.0   593.9520538024365   1741.215117304916   4.951409558802524   406.9350554220118   33.61711071586997   1295.7115420295231 
  1858.0   595.4566018210481   1741.7876315301544   4.990944856387987   407.3965550716368   33.63131712761188   1295.7688142525224 
  1859.0   596.840186008668   1741.7805921653355   4.922703917228259   407.3854923299329   33.64217766474445   1295.8302183149806 
  1860.0   598.3279101231797   1741.636824063108   4.93571374913952   407.20189348999753   33.63381913211567   1295.8653980302456 
  1861.0   599.8519911875094   1741.79480581849   4.96097580693333   407.2881145675381   33.63470549195518   1295.911010015925 
  1862.0   601.5175520304795   1742.4475840174625   5.005424817787826   407.8255062590928   33.64776312901936   1295.96889004911 
  1863.0   603.432075824744   1743.9061951429085   5.125928012119166   409.021749186223   33.688062921078114   1296.0704560247484 
  1864.0   605.3126938191992   1745.4279965218473   5.106681941034577   410.3475503296971   33.75433557637021   1296.2194273886005 
  1865.0   607.6621750255488   1745.18212873587   4.971332304272591   410.1106135585927   33.77294135262041   1296.3272413660786 
  1866.0   609.9400815059115   1745.9562641658   5.117425309012297   410.6275684405366   33.786065459239566   1296.4252039432895 
  1867.0   611.7731514393045   1747.5565468470745   5.070213080105375   412.018638711784   33.859353314743906   1296.60834111298 
  1868.0   612.7341089313401   1747.651540263967   4.918034377087367   412.1022512510521   33.882558796020234   1296.7486947848956 
  1869.0   614.5607642255665   1747.5124098118135   4.998167005322899   411.8204493180787   33.86075330724415   1296.8330403286368 
  1870.0   616.7595565200944   1747.9139024376718   4.947340664341544   412.1104570605524   33.884503852932276   1296.971600992853 
  1871.0   618.3720261016263   1748.2975739341175   4.989604331866721   412.3490518587208   33.88366391217322   1297.0752531002368 
  1872.0   619.8440093236217   1749.362325524664   4.999335443417985   413.2287002085534   33.91423062598934   1297.2200609360546 
  1873.0   621.3299577828438   1750.5062969731737   5.043528558985881   414.1325505307224   33.94855732017113   1297.3816623299008 
  1874.0   622.7384187975832   1751.2533643444524   4.97898110809462   414.7452283696893   33.98082470613752   1297.5483296231926 
  1875.0   623.7893449988175   1750.2764144910002   4.84206346021388   413.8129717636914   33.9621161052724   1297.6592624670336 
  1876.0   625.4942179177937   1749.869944704072   4.999328846492405   413.2467083736542   33.91483311225451   1297.709074322261 
  1877.0   627.5538083593763   1750.8093860821566   4.997373404424655   414.0437947584665   33.93830655703386   1297.8299103548832 
  1878.0   629.3526119995248   1750.8922636025377   4.902380533433997   414.1136188338536   33.94467338617002   1297.9315908218268 
  1879.0   630.8641311011455   1750.8867679489585   4.966275701112659   413.9981231890992   33.92605126085743   1297.9963168163579 
  1880.0   631.9287080738562   1751.488829807507   4.964107781316494   414.4918501412354   33.93797664573912   1298.094896334059 
  1881.0   633.9903498522426   1752.3385248856657   5.0294300807825065   415.1620541778888   33.95199237917331   1298.1950475372732 
  1882.0   636.0776711761529   1753.1984678608935   4.967725988158074   415.90666571132294   33.991106791319474   1298.3329705893739 
  1883.0   637.6880920925057   1753.9547645772586   4.980051441425728   416.5042822274897   34.013271980620495   1298.4571586022964 
  1884.0   639.4508065595454   1754.9277074177915   4.977982918401846   417.3032710501964   34.04494425250761   1298.6015088731099 
  1885.0   641.4279841566917   1756.2514681209957   5.011141003128031   418.38538165275264   34.08593313170688   1298.7690114129173 
  1886.0   643.2092746582335   1756.8996622225175   4.92077973821588   418.8998271725629   34.12588721612745   1298.9531677827888 
  1887.0   645.014920339615   1757.9327929929036   5.044244520507585   419.6120143870341   34.150910960721006   1299.1256218974092 
  1888.0   646.7700398479379   1759.5933719242457   5.032351639884516   420.9761771141208   34.21933656491084   1299.365506640529 
  1889.0   648.3834335070096   1759.5399707037882   4.915509880974542   420.82026399281705   34.23887949047274   1299.565317795704 
  1890.0   650.1691819916455   1760.0872002634737   4.985671952790907   421.0929887655268   34.25222527560798   1299.7563152809619 
  1891.0   651.9762143341188   1760.2367019570863   4.995321693096547   421.0498549654869   34.25584137543004   1299.9356846546448 
  1892.0   654.1034459934513   1761.181027341674   5.018819860202639   421.7385787779904   34.283387088868906   1300.1402421009955 
  1893.0   655.9861041335358   1761.2812763770435   4.887429637923896   421.76185474239327   34.297117959968084   1300.3348755622646 
  1894.0   658.1092469281401   1762.0140000410888   5.037989628019856   422.16805015767204   34.29926105397439   1300.5086987068582 
  1895.0   659.1729386096331   1761.9784770782649   4.923953534463918   422.0498025525748   34.31272686703375   1300.6919918406807 
  1896.0   660.0740820774716   1762.1594546972067   4.987365067376508   422.05607231911324   34.29464075369654   1300.8213776895443 
  1897.0   661.8461224100471   1763.5753814280843   5.030587113272513   423.20847638422816   34.3290419258967   1301.0072751975786 
  1898.0   663.2630839450501   1764.0878923791668   4.942770902072771   423.603992594061   34.35459669779864   1301.186533193895 
  1899.0   664.6232843741963   1764.6430448525455   4.976563481323508   423.9716281285918   34.3575951810263   1301.337257686237 
  1900.0   666.3696987384537   1766.2261909544832   5.052474083101646   425.2235454783399   34.40461782072449   1301.5455532278056 
  1901.0   667.2126500697756   1766.3620875644372   4.906647178606501   425.27988127690213   34.432915542033534   1301.742644347776 
  1902.0   668.6242361619834   1766.5336856533295   4.986848452684098   425.2240321706826   34.427025105861595   1301.895780882707 
  1903.0   670.5720289195291   1768.010280709387   5.018735532313195   426.4088801541465   34.47196699963836   1302.1106966222032 
  1904.0   672.1642038711726   1768.9338927711374   4.930963542805405   427.1407463737579   34.51820697492634   1302.3439750548666 
  1905.0   673.6766694670731   1769.6256462110396   4.99136476421126   427.54696976160903   34.53547077675818   1302.5518415491088 
  1906.0   675.4223811186206   1770.405870684993   5.001914665590337   428.05827559896795   34.56579049766049   1302.7798900761352 
  1907.0   677.126798624702   1771.5856471450288   5.007370467873345   428.94139443665074   34.607413487677725   1303.0294691467152 
  1908.0   678.7451173939284   1772.4014419421196   4.9673907173206295   429.5231053384172   34.63754748395283   1303.2733962233065 
  1909.0   679.7189645323213   1772.66840242782   4.897677848118977   429.5961416928745   34.65962722658375   1303.514955430137 
  1910.0   681.3145054051208   1771.8263198056566   4.8865439045527745   428.6207823609843   34.630267822499825   1303.6887266740398 
  1911.0   683.1148402128706   1772.2409345352671   4.989773358323529   428.7640675082972   34.62119627651546   1303.8658986766707 
  1912.0   685.1190647855558   1773.2338113823232   4.991128619697828   429.5047963890475   34.64902932549112   1304.088856345022 
  1913.0   687.5005558676127   1775.1359844466313   5.072291121298804   431.0075614215287   34.70484759992071   1304.3512839904995 
  1914.0   688.743848017676   1775.4238539282685   4.903659204536729   431.1660611406849   34.74262839655572   1304.6115035141568 
  1915.0   689.8213532266312   1775.070249131677   4.892477705166353   430.65286379397713   34.72359354411924   1304.801313746645 
  1916.0   691.622282780796   1775.232100132351   4.963660947626058   430.5723801316923   34.710204227986345   1304.9858548702355 
  1917.0   692.7311680685649   1775.363530865926   4.8797289939714314   430.58082451798487   34.71706532022062   1305.185911887744 
  1918.0   694.2034879735348   1775.3631350463847   4.8519852265333485   430.4443677337601   34.70684737370392   1305.3599355135966 
  1919.0   695.2584265775838   1776.0012084325965   4.966661294772294   430.8207365747966   34.69577424394159   1305.5180355588793 
  1920.0   696.1297607846145   1776.6460232374839   4.886874860906949   431.30816806201716   34.72564039050315   1305.7253401892767 
  1921.0   698.0526579594056   1777.1960348022474   5.0025387217179205   431.57921338982345   34.72271208415526   1305.8915699507995 
