 year   CV   CS   DPM   RPM   BIO   HUM
  1851.0   587.657826705931   1739.0834051043512   5.033203820736112   405.1730902578886   33.544042740897815   1295.3330685452856 
  1852.0   588.0786488528993   1739.3852867651174   4.968304614451653   405.46722943103657   33.57167479771776   1295.3780800119625 
  1853.0   588.9249997614222   1739.8381752394282   5.018574888171518   405.8264651148939   33.58314959320397   1295.4099861486793 
  1854.0   590.3073262920119   1740.56882126258   5.0008978001284365   406.46896584024705   33.61814844731876   1295.4808089041235 
  1855.0   591.2369606581868   1740.7289381013031   4.951294645790246   406.59877226681385   33.63625077307748   1295.542620092896 
  1856.0   592.2483638740676   1741.2941207906415   5.035062085580449   406.9998981668377   33.65106046382044   1295.6081003169784 
  1857.0   593.6444749709493   1742.1058853996822   5.00733014352166   407.7017785197992   33.687665418615474   1295.7091111848422 
  1858.0   595.0489339919768   1742.93846122763   5.043083599669934   408.37181861660116   33.714652963346   1295.8089063976151 
  1859.0   595.8199062648055   1742.739661146406   4.900191825204523   408.2174638444972   33.72660009704118   1295.8954065046055 
  1860.0   596.6253532783495   1742.2820267915297   4.9517328438187995   407.7169076147578   33.69334637124187   1295.920041126532 
  1861.0   598.6836881327762   1743.4394898726655   5.076717554656396   408.6335029043877   33.71775382757099   1296.0115152597907 
  1862.0   600.2520281922191   1743.7904569562015   4.977957144126905   408.94848641836114   33.74479840951486   1296.1192148705593 
  1863.0   602.1937801187615   1743.6821504942875   4.979421671636725   408.7761918269699   33.73844737930591   1296.188088941266 
  1864.0   604.3502212500867   1744.3545490656882   5.0532703849647405   409.2883243751521   33.74646305060141   1296.2664906184307 
  1865.0   606.2498007936065   1744.3305684223337   4.887304349421324   409.3242844944182   33.76063880416077   1296.3583404884141 
  1866.0   607.9592569273933   1744.2440763676216   4.9536093590424075   409.1314145185185   33.74557733457492   1296.41347586738 
  1867.0   609.4122493207634   1744.5455856907768   4.99950782130741   409.31011409955306   33.747811440711736   1296.488152454338 
  1868.0   611.0148890817233   1744.6800332549417   5.006229926065372   409.37862845326106   33.743669453578576   1296.5515049452072 
  1869.0   612.8810862505521   1746.0044777943247   5.096647407161106   410.494217589178   33.77047465015986   1296.643137115105 
  1870.0   614.8143161044042   1747.1611188822762   5.027892930650494   411.5434405478288   33.81722847148987   1296.77255788695 
  1871.0   616.3015929692248   1746.4018047042216   4.87613502893107   410.8859216527786   33.8046744829694   1296.8350733926015 
